"handle","title","price","blend","tasting_notes","food_pairing","serving_temp","region","oak","awards","full_text","url"
"saint-george-chardonnay-winemakers-selection-2024","Saint George Chardonnay Winemaker's Selection 2024","75cl: 16","","The Saint George Chardonnay is a beautiful bright yellow color with creamy notes of custard, butter and vanilla combined with almond and chestnut. On the palate, the wine is round, rich and mouth filling with golden ripe apples, quince and lemon curd followed by a smooth vanilla and soft oak finish.","Grilled calamari, shrimp cocktail with avocado, and pasta or white meats with butter lemon sauces.","","Jordan","It produces an elegant Chardonnay partially aged in oak to balance its fruity character and round mouth feel. On the palate, the wine is round, rich and mouth filling with golden ripe apples, quince and lemon curd followed by a smooth vanilla and soft oak finish.","","The vines for the Saint George Chardonnay wines grow in a mixture of clay, limestone and basalt, imparting a unique character to the vines and wine. It produces an elegant Chardonnay partially aged in oak to balance its fruity character and round mouth feel. Tasting Notes The Saint George Chardonnay is a beautiful bright yellow color with creamy notes of custard, butter and vanilla combined with almond and chestnut. On the palate, the wine is round, rich and mouth filling with golden ripe apples, quince and lemon curd followed by a smooth vanilla and soft oak finish. Food Pairing Grilled calamari, shrimp cocktail with avocado, and pasta or white meats with butter lemon sauces. Country: Jordan","https://13c.wine/products/saint-george-chardonnay-winemakers-selection-2024"
"saint-george-gewurztraminer-2024","Saint George Gewurztraminer 2024","75cl: 13","","The name of this variety comes from the word spicy. In Jordanian soil, it manifests smoky aromas with citrus and elegant tropical fruit. It is bold, expressive, and slightly viscous with sharp notes of flint, charcoal and orange peel bitterness on the palate.","Indian food, sushi, and East Asian cuisine.","","Jordan","","","Seemingly an unusual variety to grow in Jordan, Omar Zumot did not believe in the impossible and experimented with hard-to-grow varietals such as Gewurztraminer and Pinot Noir. The results blew everyone away. The Gewürztraminer resulted in a wine exhibiting unique tropical fruit aromas and a rich spiciness that amazes every wine taster. Tasting Notes The name of this variety comes from the word spicy. In Jordanian soil, it manifests smoky aromas with citrus and elegant tropical fruit. It is bold, expressive, and slightly viscous with sharp notes of flint, charcoal and orange peel bitterness on the palate. Food Pairing Indian food, sushi, and East Asian cuisine. Country: Jordan","https://13c.wine/products/saint-george-gewurztraminer-2024"
"saint-george-machareus-chardonnay-sauvignon-blanc-grands-vins-de-jordanie-2017","Machareus Chardonnay - Sauvignon Blanc 2018 (Half Bottle)","37.5cl: 8","blend of Chardonnay and Sauvignon Blanc produces a delightful versatile wine to be enjoyed on any occasion, contemporary and balanced","The nose of this wine is both tropical fruits (guava and pineapple) but also a quintessential Sauvignon Blanc with grapefruit and herbs. It is round, fruity with a fresh aftertaste and hints of bitter orange notes.","Creamy pastas, chicken with mushroom sauce, soft cheeses.","","Jordan","","","Machareus is an ancient word that means sword in Greek. This wine is named after a fortified hilltop palace located in Jordan 25 km (16 mi) southeast of the mouth of the Jordan river on the eastern side of the Dead Sea. According to Flavius Josephus, it is the location of the imprisonment of John the Baptist, a nod to the biblical history of the Jordanian terroir. The blend of Chardonnay and Sauvignon Blanc produces a delightful versatile wine to be enjoyed on any occasion, contemporary and balanced. Tasting Notes The nose of this wine is both tropical fruits (guava and pineapple) but also a quintessential Sauvignon Blanc with grapefruit and herbs. It is round, fruity with a fresh aftertaste and hints of bitter orange notes. Food Pairing Creamy pastas, chicken with mushroom sauce, soft cheeses. Country: Jordan","https://13c.wine/products/saint-george-machareus-chardonnay-sauvignon-blanc-grands-vins-de-jordanie-2017"
"saint-george-machareus-chardonnay-sauvignon-blanc-grands-vins-de-jordanie-2019","Machareus Chardonnay - Sauvignon Blanc 2022","75cl: 12 | 187.5ml: 4","blend of Chardonnay and Sauvignon Blanc produces a delightful versatile wine to be enjoyed on any occasion, contemporary and balanced","The nose of this wine is both tropical fruits (guava and pineapple) but also a quintessential Sauvignon Blanc with grapefruit and herbs. It is round, fruity with a fresh aftertaste and hints of bitter orange notes.","Creamy pastas, chicken with mushroom sauce, soft cheeses.","","Jordan","","","Machareus is an ancient word that means sword in Greek. This wine is named after a fortified hilltop palace located in Jordan 25 km (16 mi) southeast of the mouth of the Jordan river on the eastern side of the Dead Sea. According to Flavius Josephus, it is the location of the imprisonment of John the Baptist, a nod to the biblical history of the Jordanian terroir. The blend of Chardonnay and Sauvignon Blanc produces a delightful versatile wine to be enjoyed on any occasion, contemporary and balanced. Tasting Notes The nose of this wine is both tropical fruits (guava and pineapple) but also a quintessential Sauvignon Blanc with grapefruit and herbs. It is round, fruity with a fresh aftertaste and hints of bitter orange notes. Food Pairing Creamy pastas, chicken with mushroom sauce, soft cheeses. Country: Jordan","https://13c.wine/products/saint-george-machareus-chardonnay-sauvignon-blanc-grands-vins-de-jordanie-2019"
"saint-george-malbec-winemakers-selection-2022","Saint George Malbec Winemaker's Selection 2022","75cl: 16","","This Malbec displays a profound, inky-purple hue in the glass. Its aromatic profile is a captivating tapestry of red and black fruit, offering a medley of plums, cherries, and blackberries, all harmoniously woven together with subtle notes of exotic spices, well-integrated oak, and the faint whisper of tobacco leaves. With remarkable expressiveness and an undeniable charm, this Malbec unveils itself with a velvety texture and a harmonious symphony of aromatic facets, complemented by opulent tannins. It has already achieved a remarkable level of excellence and promises even greater potential in the years to come. Upon sipping, the palate is greeted by a robust, multi-layered entry, creating a rich tapestry of flavors. The wine's finish is nothing short of gripping, leaving a long and utterly satisfying impression.","This Malbec is a versatile companion for various culinary experiences. It pairs splendidly with mature cheeses, as well as with dishes that boast rich and spicy flavors. For an elevated dining experience, consider enjoying it alongside premium cuts of meat.","","","Its aromatic profile is a captivating tapestry of red and black fruit, offering a medley of plums, cherries, and blackberries, all harmoniously woven together with subtle notes of exotic spices, well-integrated oak, and the faint whisper of tobacco leaves.","","This Malbec displays a profound, inky-purple hue in the glass. Its aromatic profile is a captivating tapestry of red and black fruit, offering a medley of plums, cherries, and blackberries, all harmoniously woven together with subtle notes of exotic spices, well-integrated oak, and the faint whisper of tobacco leaves. With remarkable expressiveness and an undeniable charm, this Malbec unveils itself with a velvety texture and a harmonious symphony of aromatic facets, complemented by opulent tannins. It has already achieved a remarkable level of excellence and promises even greater potential in the years to come. Upon sipping, the palate is greeted by a robust, multi-layered entry, creating a rich tapestry of flavors. The wine's finish is nothing short of gripping, leaving a long and utterly satisfying impression. This Malbec is a versatile companion for various culinary experiences. It pairs splendidly with mature cheeses, as well as with dishes that boast rich and spicy flavors. For an elevated dining experience, consider enjoying it alongside premium cuts of meat.","https://13c.wine/products/saint-george-malbec-winemakers-selection-2022"
"saint-george-merlot-2023","Saint George Merlot  2023","75cl: 13","","This Merlot has a deep purple color with ruby hints. It has a classical note of menthol, cedar wood with hints of blueberry and green pepper. Because of the ample sun, it is supple, juicy and fresh with round tannins.","This Merlot pair wonderfully with all meats including steak, smoked brisket, and duck.","","","","","Jordan is a cold country with a hot sun. Ample differences in day and night temperatures are responsible for the unique taste of the wines. The Zumot family vineyards are framed organically and produce fruit with concentrated aromas because of this temperature difference. This Merlot grows in vineyards oriented East-West, unlike Europe’s southern exposure orientation. This orientation keeps the grape bunches aerated during growth and maturation, and allows Merlot to ripen. It is a harmonious wine, exquisitely balanced, velvety and long lasting. Tasting Notes This Merlot has a deep purple color with ruby hints. It has a classical note of menthol, cedar wood with hints of blueberry and green pepper. Because of the ample sun, it is supple, juicy and fresh with round tannins. Food Pairing This Merlot pair wonderfully with all meats including steak, smoked brisket, and duck.","https://13c.wine/products/saint-george-merlot-2023"
"saint-george-merlot-barbera-winemakers-selection-2012","Saint George Merlot - Barbera Winemaker's Selection 2017","75cl: 16","","A blend of two amazing grapes. This wines captures the elegance and floral aromas of Merlot and combines it to the heavier side of Barbera that gives mineral and earthier tones.","","","","","","A blend of two amazing grapes. This wines captures the elegance and floral aromas of Merlot and combines it to the heavier side of Barbera that gives mineral and earthier tones.","https://13c.wine/products/saint-george-merlot-barbera-winemakers-selection-2012"
"saint-george-muscat-2025","Saint George Muscat 2025","75cl: 13","","This Muscat is bright light yellow in color with greenish hues. It is a very aromatic wine with a nose of white flowers (honeysuckle, orange blossom), peach, and hints of resinous pine-tree. Light, yet mouth filling on the palate with a pleasant bitterness and musky aftertaste, this flowery wine is both fresh and delicate.","This delicate wine will enhance any light salad or seafood platter.","","","","","Historically, Muscat is thought to have been first grown in the middle east and one of the first grape varieties that was taken to Europe. Legend has it that is was Cleopatra’s favorite wine. While these grapes might have been indigenous, they were no longer available in the region in 1996 when the Zumot family started the vineyard in Sama. The founder, Omar Zumot replanted all the noble varieties, including Muscat and has been farming them organically since. In his words “we simply grow wine with the true taste of Jordan at heart.” Tasting Notes This Muscat is bright light yellow in color with greenish hues. It is a very aromatic wine with a nose of white flowers (honeysuckle, orange blossom), peach, and hints of resinous pine-tree. Light, yet mouth filling on the palate with a pleasant bitterness and musky aftertaste, this flowery wine is both fresh and delicate. Food Pairing This delicate wine will enhance any light salad or seafood platter.","https://13c.wine/products/saint-george-muscat-2025"
"saint-george-nero-davola-winemakers-selection-2015","Saint George Nero D'avola Winemaker's Selection 2015","75cl: 16","","This unique Nero d'Avola captures the essence of the Jordanian terroir. A grape that usually thrives on the volcanic slopes of Sicily, here, it has found a second home in the Jordanian desert. The basalt in our soil contributes to a smoky and mineral character backed by a delicious red fruits and spicy flavors. The 2015 is in its peak and offers a beautiful evolution. Drink now.","","","","","","This unique Nero d'Avola captures the essence of the Jordanian terroir. A grape that usually thrives on the volcanic slopes of Sicily, here, it has found a second home in the Jordanian desert. The basalt in our soil contributes to a smoky and mineral character backed by a delicious red fruits and spicy flavors. The 2015 is in its peak and offers a beautiful evolution. Drink now.","https://13c.wine/products/saint-george-nero-davola-winemakers-selection-2015"
"saint-george-petite-syrah-reserve-2019","Saint George Petite Syrah Reserve 2019","75cl: 22","","This almost pitch black Petite Syrah Reserve opens with aromas of crushed violet and red rose, then black and blue berries, and then sandalwood and black pepper! Lively and velvety on the palate, its powerful tannins and notes of dried fig followed by spicy hints of liquorice and black pepper produce its length and a savory finish.","Barbecue beef, roasted pork, sautéed mushrooms, cheeses- Camembert, aged Gouda are the perfect match to this heavenly wine.","","","","","A masterpiece for any wine lover, Petite Syrah is not just a more “petite/small” version of or Shiraz/Syrah, it’s a distinct grape variety. Petite Syrah is the offspring of Syrah and Peloursin. If you’ve never heard of Peloursin, that’s understandable: it’s nearly extinct, found just a few places in the French-Alps. Petite Syreah is loved for its extraordinary deep color and full-bodied flavors of blueberry, chocolate, plums and black pepper. Despite its popularity, Petite Sirah is an exceptionally rare grape with less than 10,000 planted acres worldwide, mainly in California. Tasting Notes This almost pitch black Petite Syrah Reserve opens with aromas of crushed violet and red rose, then black and blue berries, and then sandalwood and black pepper! Lively and velvety on the palate, its powerful tannins and notes of dried fig followed by spicy hints of liquorice and black pepper produce its length and a savory finish. Food Pairing Barbecue beef, roasted pork, sautéed mushrooms, cheeses- Camembert, aged Gouda are the perfect match to this heavenly wine.","https://13c.wine/products/saint-george-petite-syrah-reserve-2019"
"saint-george-pinot-grigio-terroir-expression-2023","Saint George Pinot Grigio Terroir Expression 2023","50cl: 15","","Wine is a meeting point of passion, science and art. This unique collection of Jordanian wine is a selection of the best varieties that express the terroir of the vintage. The Pinot Grigio 2023 is fresh and crisp with distinctive herbal and citrusy aromas along with the signature stone-fruit flavors. Very small quantities produced.","","","","","","Wine is a meeting point of passion, science and art. This unique collection of Jordanian wine is a selection of the best varieties that express the terroir of the vintage. The Pinot Grigio 2023 is fresh and crisp with distinctive herbal and citrusy aromas along with the signature stone-fruit flavors. Very small quantities produced.","https://13c.wine/products/saint-george-pinot-grigio-terroir-expression-2023"
"saint-george-pinot-noir-2020","Saint George Pinot Noir 2020","75cl: 13","","Seemingly an unusual variety to grow in Jordan, Omar Zumot did not believe in the impossible and experimented with hard-to-grow varietals such as Pinot Noir. The results blew everyone away. The winds coming from the West made the Pinot Noir‚Äôs skin thicker and more resilient than its European counterparts.","","","","","","Seemingly an unusual variety to grow in Jordan, Omar Zumot did not believe in the impossible and experimented with hard-to-grow varietals such as Pinot Noir. The results blew everyone away. The winds coming from the West made the Pinot Noir‚Äôs skin thicker and more resilient than its European counterparts.","https://13c.wine/products/saint-george-pinot-noir-2020"
"saint-george-pinot-noir-cabernet-sauvignon-2019","Saint George Pinot Noir - Cabernet Sauvignon 2019","75cl: 12 | 37.5cl: 8 | 187.5ml: 4","","This blend is a deep garnet color with purplish hues. It opens with ripe berries, blackberry, plum and blackcurrant aromas. It has a beautiful body with supple tannins and hints of cedar wood.","A great pairing for Jordanian and Palestine cuisine such as stuffed eggplant and chicken with caramelized onions and sumac (musakhan).","","Jordan","","","This unlikely blend produces an easy going, easy pairing wine that brings together Cabernet’s fruitiness and the Pinot Noir’s complexity. Tasting Notes This blend is a deep garnet color with purplish hues. It opens with ripe berries, blackberry, plum and blackcurrant aromas. It has a beautiful body with supple tannins and hints of cedar wood. Food Pairing A great pairing for Jordanian and Palestine cuisine such as stuffed eggplant and chicken with caramelized onions and sumac (musakhan). Country: Jordan","https://13c.wine/products/saint-george-pinot-noir-cabernet-sauvignon-2019"
"saint-george-pinot-noir-winemakers-selection-2018","Saint George Pinot Noir Winemaker's Selection 2018","75cl: 16","","Elegant nose of leather, smoke and soft pepper, typical of a Pinot Noir yet rounder and warmer, with touches of dried cranberry and cherry. Beautifully well balanced on the palate, it shows aromas of ripe red plum and cherry, smooth yet powerful tannins, and a dry, peppery finish with an amazing length.","Roasted lamb rack, cold cuts, boeuf bourguignon, and fried kubbeh.","","Jordan","","","A true taste of Jordanian soil! Seemingly an unusual variety to grow in Jordan, Omar Zumot did not believe in the impossible and experimented with hard-to-grow varietals such as Pinot Noir. The results blew everyone away. The winds coming from the West made the Pinot Noir’s skin thicker and more resilient than its European counterparts. Tasting Notes Elegant nose of leather, smoke and soft pepper, typical of a Pinot Noir yet rounder and warmer, with touches of dried cranberry and cherry. Beautifully well balanced on the palate, it shows aromas of ripe red plum and cherry, smooth yet powerful tannins, and a dry, peppery finish with an amazing length. Food Pairing Roasted lamb rack, cold cuts, boeuf bourguignon, and fried kubbeh. Country: Jordan","https://13c.wine/products/saint-george-pinot-noir-winemakers-selection-2018"
"saint-george-red-blend-1","Saint George Red Blend 2018","75cl: 13","blend of Cabernet Sauvignon, Cabernet Franc and Malbec","Deep crimson color with ruby red hues. On the nose, ripe blackcurrant, red plum and black cherry are complemented by roasted red pepper and tobacco leaf notes. On the palate, a complex, intense palate of blackcurrant with hints of liquorice and dark chocolate are added to the velvet tannins, making a premium combination that results in a bold, yet elegant wine of great concentration.","Grilled steak, roasted lamb, grilled sausages with herbs, veal, roasted chicken, tomato based meat stews, charcuterie are just a few suggestions for this wonderful blend. The wine goes well with lasagna, pasta with meatballs and tomato sauce. It pairs perfectly with many different types of cheeses, which makes it an excellent red wine for a cheese platter. The salty and savoury flavours of Cheddar, Pecorino, Manchego and Parmigiano pair wonderfully with the blend.
The vegetal profile of Cabernet Franc makes the blend an excellent choice for many vegetarian dishes such as roasted/grilled vegetables, lentils, beans, mushrooms.
Grape Variety: Cabernet Sauvignon, Cabernet Franc, Malbec.","","Jordan","Matured for 10 months in premium French oak barrels and bottled without filtration.","","Single vineyard grown and hand-picked signature blend of Cabernet Sauvignon, Cabernet Franc and Malbec. The low yielding vines were carefully managed throughout the season, producing exceptional parcels of rich fruit. Matured for 10 months in premium French oak barrels and bottled without filtration. Tasting Notes Deep crimson color with ruby red hues. On the nose, ripe blackcurrant, red plum and black cherry are complemented by roasted red pepper and tobacco leaf notes. On the palate, a complex, intense palate of blackcurrant with hints of liquorice and dark chocolate are added to the velvet tannins, making a premium combination that results in a bold, yet elegant wine of great concentration. Food Pairing Grilled steak, roasted lamb, grilled sausages with herbs, veal, roasted chicken, tomato based meat stews, charcuterie are just a few suggestions for this wonderful blend. The wine goes well with lasagna, pasta with meatballs and tomato sauce. It pairs perfectly with many different types of cheeses, which makes it an excellent red wine for a cheese platter. The salty and savoury flavours of Cheddar, Pecorino, Manchego and Parmigiano pair wonderfully with the blend. The vegetal profile of Cabernet Franc makes the blend an excellent choice for many vegetarian dishes such as roasted/grilled vegetables, lentils, beans, mushrooms. Grape Variety: Cabernet Sauvignon, Cabernet Franc, Malbec. Country: Jordan","https://13c.wine/products/saint-george-red-blend-1"
"saint-george-rose","Saint George Rosé","75cl: 13","50% Grenache, 50% Syrah","Vibrant with fresh strawberry and raspberry and a lingering minerality from Jordan's ancient volcanic soil.","An excellent food Rosé, great with salads, fresh cheeses like halloumi and burrata, and all things pool side","","Jordan","","","Light, elegant and complex. This Rosé is summer in a glass! This new blend from Saint George is 50% Grenache, 50% Syrah. Tasting Notes Vibrant with fresh strawberry and raspberry and a lingering minerality from Jordan's ancient volcanic soil. Food Pairing An excellent food Rosé, great with salads, fresh cheeses like halloumi and burrata, and all things pool side Country: Jordan","https://13c.wine/products/saint-george-rose"
"saint-george-sangiovese-terrior-expression","Saint George Sangiovese Terroir Expression 2016","50cl: 15","","Wine is a meeting point of passion, science, and art. This unique collection of Jordanian wine: The terroir expression, captures the unique essence in history, culture, geography and human know-how behind the wine.","","","","","China Wine Competition 2019 (Silver)","Wine is a meeting point of passion, science, and art. This unique collection of Jordanian wine: The terroir expression, captures the unique essence in history, culture, geography and human know-how behind the wine. Awards China Wine Competition 2019 (Silver)","https://13c.wine/products/saint-george-sangiovese-terrior-expression"
"saint-george-sauvignon-blanc-winemakers-selection-2024","Saint George Sauvignon Blanc Winemaker's Selection 2024","75cl: 16","","Pale yellow color with greenish hints. Very aromatic nose of tropical fruits such as pineapple, passion fruit and ripe papaya for the primary aromas. Hints of lemon curd and delicate mineral touch on the secondary ones. Amazingly round for a Sauvignon Blanc, this wine develops aromas of tropical fruits but also ripe white pear and slightly bitter aromas of orange peel. Medium body, round yet refreshing, this wine has a delicate, mouth-watering acidity that pleasantly persist after sipping.","This wine pairs beautifully with hearty vegetables such as sautéed mushrooms, asparagus, green beans but also white meats and a hot summer day. Country: Jordan","","","","","A true definition of Jordan’s soils, weather and terroir. Tasting Notes Pale yellow color with greenish hints. Very aromatic nose of tropical fruits such as pineapple, passion fruit and ripe papaya for the primary aromas. Hints of lemon curd and delicate mineral touch on the secondary ones. Amazingly round for a Sauvignon Blanc, this wine develops aromas of tropical fruits but also ripe white pear and slightly bitter aromas of orange peel. Medium body, round yet refreshing, this wine has a delicate, mouth-watering acidity that pleasantly persist after sipping. Food Pairing This wine pairs beautifully with hearty vegetables such as sautéed mushrooms, asparagus, green beans but also white meats and a hot summer day. Country: Jordan","https://13c.wine/products/saint-george-sauvignon-blanc-winemakers-selection-2024"
